NOME_SOLU|VAL_SOLUCAO_INICIAL|QTD_TROCAS_SOL_INCIAL|VAL_SOLUCAO_POS_REFI|QTD_TROCAS_POS_REFI|QTD_ITERACOES|HOUVE_MELHORA|TEMPO_HC|TEMPO_REF|TEMPO_TOTAL 
instance1192_m=3_n=25_l=20_c=15_s=0|460|16|460|16|3|não|0.0094945|0.0032524|0.0134984
instance1193_m=3_n=25_l=20_c=15_s=1|677|17|677|17|2|não|0.0097525|0.0028831|0.0134986
instance1194_m=3_n=25_l=20_c=15_s=2|274|15|274|15|3|não|0.0109367|0.0058359|0.0181204
instance1195_m=3_n=25_l=20_c=15_s=0|485|10|485|10|2|não|0.0090446|0.0018609|0.0114615
instance1196_m=3_n=25_l=20_c=15_s=1|575|10|575|10|2|não|0.0159316|0.0035746|0.02058
instance1197_m=3_n=25_l=20_c=15_s=2|306|9|306|9|3|não|0.0109209|0.0035797|0.0153819
instance1198_m=3_n=25_l=20_c=15_s=0|332|8|332|8|1|não|0.0123983|0.0011672|0.0140653
instance1199_m=3_n=25_l=20_c=15_s=1|512|9|512|9|1|não|0.0147958|0.0022215|0.0179723
instance1200_m=3_n=25_l=20_c=15_s=2|283|9|283|9|2|não|0.0151761|0.0034211|0.0195524
instance1201_m=4_n=25_l=15_c=10_s=0|291|9|291|9|2|não|0.0047559|0.0011222|0.0062126
instance1202_m=4_n=25_l=15_c=10_s=1|405|9|405|9|2|não|0.0047389|0.0011401|0.0062199
instance1203_m=4_n=25_l=15_c=10_s=2|240|9|240|9|2|não|0.0047478|0.0011215|0.0062035
instance1204_m=4_n=25_l=15_c=10_s=0|220|7|220|7|0|não|0.0050522|0.0004455|0.0058289
instance1205_m=4_n=25_l=15_c=10_s=1|361|8|361|8|1|não|0.0052084|0.0008247|0.006385
instance1206_m=4_n=25_l=15_c=10_s=2|210|6|210|6|2|não|0.0050387|0.0010431|0.0064503
instance1207_m=4_n=25_l=15_c=10_s=0|230|5|230|5|3|não|0.005141|0.0013184|0.006765
instance1208_m=4_n=25_l=15_c=10_s=1|283|4|283|4|1|não|0.0048338|0.000659|0.0057719
instance1209_m=4_n=25_l=15_c=10_s=2|189|4|189|4|3|não|0.005871|0.0012599|0.0074191
instance1210_m=4_n=25_l=15_c=10_s=0|281|8|281|8|1|não|0.0047457|0.0007758|0.0058517
instance1211_m=4_n=25_l=15_c=10_s=1|392|9|392|9|1|não|0.0047032|0.0007824|0.0058229
instance1212_m=4_n=25_l=15_c=10_s=2|222|8|222|8|0|não|0.0050763|0.0004444|0.0058486
instance1213_m=4_n=25_l=15_c=10_s=0|223|9|223|9|1|não|0.0048778|0.0007662|0.005969
instance1214_m=4_n=25_l=15_c=10_s=1|337|9|337|9|1|não|0.0050667|0.0009758|0.0064026
instance1215_m=4_n=25_l=15_c=10_s=2|163|10|163|10|2|não|0.0076084|0.0012727|0.0092605
instance1216_m=4_n=25_l=15_c=10_s=0|247|4|247|4|1|não|0.0091575|0.0011579|0.010812
instance1217_m=4_n=25_l=15_c=10_s=1|308|4|308|4|1|não|0.0050462|0.0006534|0.0059698
instance1218_m=4_n=25_l=15_c=10_s=2|194|7|194|7|1|não|0.0060135|0.0006937|0.0069942
